Switch series,Model,Device Type,Role,Form Factor (RU),Downlink Speeds,Max Uplink Speed,Line Card Slots,Supervisor/Fabric Modules,Throughput,OS/Mode,Features,Maximum possible port number,Short description,Use case,Datasheet link,Notes
Nexus 9800,N9K-C9808,Modular Chassis,Spine / Super-spine,16 RU,100G / 400G,400G,8,"2 supervisor, up to 8 fabric modules",Up to 115.2 Tbps,NX-OS,"VXLAN, EVPN, SRv6, MACsec, telemetry, VOQ",288 x 400G (up to 1152 x 100G via breakout); or 384 x 100G,8-slot modular spine chassis; 36x400G or 48x100G per line-card slot; Silicon One ASICs; dual sup + up to 8 fabric modules,Data center / AI-ML spine and super-spine,https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus9800-series-switches-ds.html,
Nexus 9800,N9K-C9804,Modular Chassis,Spine / Super-spine,10 RU,100G / 400G,400G,4,"2 supervisor, up to 8 fabric modules",~57 Tbps (4-slot),NX-OS,"VXLAN, EVPN, SRv6, MACsec, telemetry, VOQ",144 x 400G (up to 576 x 100G via breakout); or 192 x 100G,"4-slot modular spine chassis; same line cards as 9808 at roughly half capacity, smaller footprint",Data center / AI-ML spine and super-spine (smaller footprint),https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus9800-series-switches-ds.html,
Nexus 9500,N9K-C9504,Modular Chassis,Spine,7 RU,1/10/25/40/50/100/200/400G,400G,4,"2 supervisor + 2 system controller, up to 6 fabric modules",Up to ~43 Tbps (derived),NX-OS / ACI,"VXLAN, EVPN, MACsec, segment routing, telemetry",64 x 400G or 144 x 100G native (more via breakout),4-slot cloud-scale modular chassis; accepts Cloud-Scale and R-Series (deep-buffer) line cards,"Enterprise / cloud DC spine, ACI spine",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-729404.html,
Nexus 9500,N9K-C9508,Modular Chassis,Spine,13 RU,1/10/25/40/50/100/200/400G,400G,8,"2 supervisor + 2 system controller, up to 6 fabric modules",Up to ~86 Tbps (derived),NX-OS / ACI,"VXLAN, EVPN, MACsec, segment routing, telemetry",128 x 400G or 288 x 100G native (more via breakout),8-slot cloud-scale modular chassis; most common 9500 spine; Cloud-Scale and R-Series line cards,"Enterprise / cloud DC spine, ACI spine",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-729404.html,
Nexus 9500,N9K-C9516,Modular Chassis,Spine,21 RU,1/10/25/40/50/100/200/400G,400G,16,"2 supervisor + 2 system controller, up to 6 fabric modules",Up to 172.8 Tbps,NX-OS / ACI,"VXLAN, EVPN, MACsec, segment routing, telemetry",Platform max: 192 x 400G / 1024 x 100G / 2304 x 25G (with breakout),16-slot cloud-scale modular chassis; highest-density 9500; large-scale spine,"Large enterprise / cloud DC spine, ACI spine",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/datasheet-c78-729404.html,
Nexus 9400,N9K-C9408,Modular Chassis,Leaf / Spine,4 RU,10/25/50/100/200/400G,400G,8,1 supervisor + 1 switch card (no separate FM),25.6 Tbps,NX-OS / ACI,"VXLAN, EVPN, MACsec, PTP/SyncE, telemetry",64 x 400G / 128 x 200G / 176 x 10-50G,4 RU centralized modular switch; 8 LEM slots; Cloud-Scale; MACsec on all ports; PTP Class C timing,"DC leaf/spine, IP Fabric for Media, telco",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus9400-series-switches-ds.html,
Nexus 9300 800G,N9364E-SG2-O,Fixed,Spine / Leaf,2 RU,100/200/400/800G,800G,,,51.2 Tbps,NX-OS,"VXLAN, EVPN, MACsec (Silicon One G200)",64 x 800G (up to 128 x 400G / 256 x 200G / 512 x 100G via breakout),2 RU 64-port 800G OSFP fixed switch on Silicon One G200; 256 MB buffer,"AI/ML and web-scale spine, 800G aggregation",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9364e-sg2-switch-ds.html,
Nexus 9300 800G,N9364E-SG2-Q,Fixed,Spine / Leaf,2 RU,100/200/400/800G,800G,,,51.2 Tbps,NX-OS,"VXLAN, EVPN, MACsec (Silicon One G200)",64 x 800G (up to 128 x 400G / 256 x 200G / 512 x 100G via breakout),2 RU 64-port 800G QSFP-DD fixed switch on Silicon One G200; 256 MB buffer,"AI/ML and web-scale spine, 800G aggregation",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9364e-sg2-switch-ds.html,
Nexus 9300 800G,N9364E-SG2X-O,Fixed,Spine / Leaf,2 RU,100/200/400/800G,800G,,,51.2 Tbps,NX-OS,"VXLAN, EVPN, MACsec (Silicon One G200); LPO-optics oriented variant",64 x 800G OSFP (up to 128 x 400G / 512 x 100G via breakout),2 RU 64-port 800G OSFP fixed switch; SG2X variant of the SG2 family (data sheet published Jun 2026),"AI/ML and web-scale spine, 800G aggregation",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9364e-sg2-switch-ds.html,SG2X data sheet is new (02-Jun-2026) and not yet fully public-indexed; specs shown are SG2-family values - VERIFY port/breakout/optics deltas against the SG2X data sheet in CCW before quoting
Nexus 9300 800G,N9364E-SG2X-Q,Fixed,Spine / Leaf,2 RU,100/200/400/800G,800G,,,51.2 Tbps,NX-OS,"VXLAN, EVPN, MACsec (Silicon One G200); LPO-optics oriented variant",64 x 800G QSFP-DD (up to 128 x 400G / 512 x 100G via breakout),2 RU 64-port 800G QSFP-DD fixed switch; SG2X variant of the SG2 family (data sheet published Jun 2026),"AI/ML and web-scale spine, 800G aggregation",https://www.cisco.com/c/en/us/products/collateral/switches/nexus-9000-series-switches/nexus-9364e-sg2-switch-ds.html,Same caveat as SG2X-O - verify against the new SG2X data sheet / CCW before quoting
