Supertype,Device Type,Model,Deployment Category,Unified architecture,Family,Antenna,SD-WAN,WAN ports detail,WAN ports amount,WAN port max,LAN ports detail,LAN ports amount,LAN port max,Client Recommendation,Recommended Max VPN Tunnels,Throughput,Advanced Security Throughput,PIM Modules,PIM types,SM Modules,SM types,NIM Modules,NIM types,Cellular,Features,Ordering information,Description,Notes,List Order,Datasheet
ASR900,Chassis,ASR-902,Aggregation,No,ASR,No,No,Modular,Modular,10 Gbps,Modular,Modular,100 Gbps,,,,,0,,0,,4,"A900-IMA2F, A900-IMA8Z, A900-IMA6EM, A900-IMA4C3794, A900-IMA8D, A900-IMA1X, A900-IMA8S, A900-IMA8T, A900-IMA8S1Z,  A900-IMA8T1Z, A900-IMA2Z, N560-IMA-8Q/4L",,"Carrier Ethernet, MPLS, Redundant PSU, Has fans",ASR-902,2RU aggregation router,Approaching EOS March 2027,6,cisco.com/c/en/us/products/collateral/routers/asr-903-series-aggregation-services-routers/data_sheet_c78-685686.html
ASR900,Chassis,ASR-903,Aggregation,No,ASR,No,No,Modular,Modular,10 Gbps,Modular,Modular,100 Gbps,,,,,0,,0,,6,"A900-IMA2F, A900-IMA8Z, A900-IMA6EM, A900-IMA4C3794, A900-IMA8D, A900-IMA1X, A900-IMA8S, A900-IMA8T, A900-IMA8S1Z,  A900-IMA8T1Z, A900-IMA2Z, N560-IMA-8Q/4L",,"Carrier Ethernet, MPLS, Redundant PSU, Has fans",ASR-903,3RU aggregation router with 2 RSP slots,Approaching EOS March 2027,6,cisco.com/c/en/us/products/collateral/routers/asr-903-series-aggregation-services-routers/data_sheet_c78-685686.html
ASR900,Chassis,ASR-907,Aggregation,No,ASR,No,No,Modular,Modular,10 Gbps,Modular,Modular,100 Gbps,,,,,0,,0,,16,"A900-IMA2F, A900-IMA8Z, A900-IMA6EM, A900-IMA4C3794, A900-IMA8D, A900-IMA1X, A900-IMA8S, A900-IMA8T, A900-IMA8S1Z,  A900-IMA8T1Z, A900-IMA2Z, N560-IMA-8Q/4L",,"Carrier Ethernet, MPLS, Redundant PSU, Has fans",ASR-907,16-slot aggregation router,Approaching EOS March 2027,6,cisco.com/c/en/us/products/collateral/routers/asr-903-series-aggregation-services-routers/data_sheet_c78-685686.html
ASR900,Chassis,ASR-914,Aggregation,No,ASR,No,No,Modular,Modular,10 Gbps,Modular,Modular,200 Gbps,,,,,0,,0,,14,"A900-IMA2F, A900-IMA8Z, A900-IMA6EM, A900-IMA4C3794, A900-IMA8D, A900-IMA1X, A900-IMA8S, A900-IMA8T, A900-IMA8S1Z,  A900-IMA8T1Z, A900-IMA2Z, N560-IMA-8Q/4L",,"Carrier Ethernet, MPLS, Redundant PSU, Has fans",ASR-914,High-end aggregation router,Approaching EOS March 2027,6,cisco.com/c/en/us/products/collateral/routers/asr-903-series-aggregation-services-routers/data_sheet_c78-685686.html
ASR920,Rack,ASR-920-12CZ,Medium branch,No,ASR,No,No,"12x Combo copper/SFP+, 2x 10GE",12,10 Gbps,"12x Combo copper/SFP+, 2x 10GE",12,10 Gbps,,,,,0,,0,,,,,"Carrier Ethernet, MPLS, Redundant PSU, Has fans","ASR-920-12CZ-A, ASR-920-12CZ-D",Aggregation Services Router with Low-Port-Density,,6,https://www.cisco.com/c/en/us/products/collateral/routers/asr-920-series-aggregation-services-router/datasheet-c78-733397.html
ASR920,Rack,ASR-920-12SZ,Medium branch,No,ASR,No,No,12x SFP+,12,10 Gbps,,,,,,,,0,,0,,,,,,ASR-920-12SZ,Aggregation Services Router with Low-Port-Density,,6,https://www.cisco.com/c/en/us/products/collateral/routers/asr-920-series-aggregation-services-router/datasheet-c78-733397.html
ASR920,Rack,ASR-920-12SZ-IM,Medium branch,No,ASR,No,No,12x SFP+,12,10 Gbps,,,,,,,,0,,0,,1,ASR 900 IM,,"Redundant PSU, Has fans, GNSS, PoE",ASR-920-12SZ-IM,Aggregation Services Router with High-Port-Density,,6,https://www.cisco.com/c/en/us/products/collateral/routers/asr-920-series-aggregation-services-router/datasheet-c78-733397.html
ASR920,Rack,ASR-920-24SZ-IM,Medium branch,No,ASR,No,No,24x SFP+,24,10 Gbps,,,,,,,,0,,0,,1,ASR 900 IM,,,ASR-920-24SZ-IM,Aggregation Services Router with High-Port-Density,,6,https://www.cisco.com/c/en/us/products/collateral/routers/asr-920-series-aggregation-services-router/datasheet-c78-733397.html
ASR920,Rack,ASR-920-24SZ-M,Medium branch,No,ASR,No,No,24x SFP+,24,10 Gbps,,,,,,,,0,,0,,,,,,ASR-920-24SZ-M,Aggregation Services Router with High-Port-Density,,6,https://www.cisco.com/c/en/us/products/collateral/routers/asr-920-series-aggregation-services-router/datasheet-c78-733397.html
ASR920,Rack,ASR-920-24TZ-M,Medium branch,No,ASR,No,No,24x Copper and SFP+,24,10 Gbps,,,,,,,,0,,0,,,,,,ASR-920-24TZ-M,Aggregation Services Router with High-Port-Density,,6,https://www.cisco.com/c/en/us/products/collateral/routers/asr-920-series-aggregation-services-router/datasheet-c78-733397.html
ASR920,Rack,ASR-920-4SZ,Medium branch,No,ASR,No,No,4x Combo copper/SFP+,4,10 Gbps,,,,,,,,0,,0,,,,,,ASR-920-4SZ,Aggregation Services Router with Low-Port-Density,,6,https://www.cisco.com/c/en/us/products/collateral/routers/asr-920-series-aggregation-services-router/datasheet-c78-733397.html
C8200,Rack,C8200-1N-4T,Small branch,No,Catalyst,No,Yes,"2x 1GbE SFP, 2x 1GbE RJ45",4,1 Gbps,Modular expansion via NIM slots,0,2.5 Gbps,,2500,1 Gbps,850 Mbps,1,P-LTEA-EA,0,,1,"C-NIM-8M, C-NIM-4X, C-NIM-8T, C-NIM-2T, C-NIM-1M, C-NIM-1X, NIM-ES2-4, NIM-ES2-8",,"Cryptography, voice capable, IPS, URL filtering, Secure Internet Gateway, Memory 32GB",C8200-1N-4T,Small branch SD-WAN router with multi-layer security,Memory defaults to 8GB upgradeable to 32GB,1,cisco.com/c/en/us/products/collateral/routers/catalyst-8200-series-edge-platforms/nb-06-cat8200-series-edge-plat-ds-cte-en.html
C8200,Rack,C8200L-1N-4T,Small branch,No,Catalyst,No,Yes,"2x 1GbE SFP, 2x 1GbE RJ45",4,1 Gbps,Modular expansion via NIM slots,0,2.5 Gbps,,1500,500 Mbps,300 Mbps,1,P-LTEA-EA,0,,1,"C-NIM-8M, C-NIM-4X, C-NIM-8T, C-NIM-2T, C-NIM-1M, C-NIM-1X, NIM-ES2-4, NIM-ES2-8",,"Cryptography, voice capable, Memory 32GB",C8200L-1N-4T,Cost-optimized small branch SD-WAN router for SASE,Default 4GB DRAM,1,cisco.com/c/en/us/products/collateral/routers/catalyst-8200-series-edge-platforms/nb-06-cat8200-series-edge-plat-ds-cte-en.html
C8300,Rack chassis,C8300-2N2S-4T2X,Medium branch,No,Catalyst,No,Yes,"2x 10GbE SFP+, 4x 1GbE RJ45",6,10 Gbps,Modular expansion via SM/NIM slots,0,10 Gbps,,6000,18.8 Gbps,5.6 Gbps,1,P-LTEA-EA,2,"C-SM-16P4M2X, C-SM-40P8M2X, UCS-E Series",2,"C-NIM-8M, C-NIM-4X, C-NIM-8T, C-NIM-2T, C-NIM-1M, C-NIM-1X, NIM-ES2-4, NIM-ES2-8",,"Redundant PSU, Has fans, multigigabit capable, Cryptography, voice capable, IPS, URL filtering, Secure Internet Gateway, Memory 32GB",C8300-2N2S-4T2X,High-performance branch router with deep modularity,,1,cisco.com/c/en/us/products/collateral/routers/catalyst-8300-series-edge-platforms/datasheet-c78-744088.html
C8300,Rack chassis,C8300-2N2S-6T,Medium branch,No,Catalyst,No,Yes,6x 1GbE RJ45/SFP,6,1 Gbps,Modular expansion via SM/NIM slots,0,10 Gbps,,6000,2.0 Gbps,1.7 Gbps,1,P-LTEA-EA,2,"C-SM-16P4M2X, C-SM-40P8M2X, UCS-E Series",2,"C-NIM-8M, C-NIM-4X, C-NIM-8T, C-NIM-2T, C-NIM-1M, C-NIM-1X, NIM-ES2-4, NIM-ES2-8",,"Redundant PSU, Has fans, multigigabit capable, Cryptography, voice capable, IPS, URL filtering, Secure Internet Gateway, Memory 32GB",C8300-2N2S-6T,2RU branch router optimized for 1G WAN interfaces,Can support up to 48 PoE ports with SM modules,1,cisco.com/c/en/us/products/collateral/routers/catalyst-8300-series-edge-platforms/datasheet-c78-744088.html
C8300,Rack chassis,C8300-1N1S-4T2X,Medium branch,No,Catalyst,No,Yes,"2x 10GbE SFP+,  4x 1GbE RJ45",6,10 Gbps,Modular expansion via SM/NIM slots,0,10 Gbps,,6000,17.0 Gbps,5.5 Gbps,1,P-LTEA-EA,1,"C-SM-16P4M2X, C-SM-40P8M2X, UCS-E Series",1,"C-NIM-8M, C-NIM-4X, C-NIM-8T, C-NIM-2T, C-NIM-1M, C-NIM-1X, NIM-ES2-4, NIM-ES2-8",,"Redundant PSU, Has fans, multigigabit capable, Cryptography, voice capable, IPS, URL filtering, Secure Internet Gateway, Memory 32GB",C8300-1N1S-4T2X,Compact 1RU high-performance branch router with 10G WAN,,1,cisco.com/c/en/us/products/collateral/routers/catalyst-8300-series-edge-platforms/datasheet-c78-744088.html
C8300,Rack chassis,C8300-1N1S-6T,Medium branch,No,Catalyst,No,Yes,6x 1GbE RJ45/SFP,6,1 Gbps,Modular expansion via SM/NIM slots,0,10 Gbps,,6000,2.0 Gbps,1.7 Gbps,1,P-LTEA-EA,1,"C-SM-16P4M2X, C-SM-40P8M2X, UCS-E Series",1,"C-NIM-8M, C-NIM-4X, C-NIM-8T, C-NIM-2T, C-NIM-1M, C-NIM-1X, NIM-ES2-4, NIM-ES2-8",,"Redundant PSU, Has fans, multigigabit capable, Cryptography, voice capable, IPS, URL filtering, Secure Internet Gateway, Memory 32GB",C8300-1N1S-6T,Compact 1RU high-performance branch router with 1G WAN,,1,cisco.com/c/en/us/products/collateral/routers/catalyst-8300-series-edge-platforms/datasheet-c78-744088.html
C8500,Rack chassis,C8500-12X,Aggregation,No,Catalyst,No,Yes,12x 10GbE SFP+,12,10 Gbps,Can be configured via ports,0,10 Gbps,,10000,51 Gbps,22.6 Gbps,0,,0,,0,,,"Redundant PSU, Has fans, Cryptography, IPS, URL filtering, Secure Internet Gateway, Memory 64GB",C8500-12X,Aggregation edge router powered by QFP 3.0 ASIC,Default 16GB memory,1,cisco.com/c/en/us/products/collateral/routers/catalyst-8500-series-edge-platforms/datasheet-c78-744089.html
C8500,Rack chassis,C8500-12X4QC,Aggregation,No,Catalyst,No,Yes,"12x 10GbE SFP+, 2x 40GbE QSFP , 2x 100GbE QSFP28",16,100 Gbps,Can be configured via ports,0,100 Gbps,,10000,96 Gbps,31.9 Gbps,0,,0,,0,,,"Redundant PSU, Has fans, Cryptography, IPS, URL filtering, Secure Internet Gateway, Memory 64GB",C8500-12X4QC,High-density 100G aggregation router,QSFP ports support 4x10G breakout configurations,1,cisco.com/c/en/us/products/collateral/routers/catalyst-8500-series-edge-platforms/datasheet-c78-744089.html
C8500,Rack chassis,C8500-20X6C,Aggregation,No,Catalyst,No,Yes,"20x 10GbE SFP+ , 6x 100GbE QSFP28",26,100 Gbps,Can be configured via ports,0,100 Gbps,,10000,350 Gbps,100 Gbps,0,,0,,0,,,"Redundant PSU, Has fans, Cryptography, IPS, URL filtering, Secure Internet Gateway, Memory 64GB",C8500-20X6C,Massive scale 3RU aggregation edge router,,1,cisco.com/c/en/us/products/collateral/routers/catalyst-8500-series-edge-platforms/datasheet-c78-744089.html
C8500L,Rack chassis,C8500L-8S4X,Aggregation,No,Catalyst,No,Yes,"8x 1GbE SFP , 4x 10GbE SFP+",12,10 Gbps,Can be configured via ports,0,10 Gbps,,8000,19 Gbps,5.9 Gbps,0,,0,,0,,,"Redundant PSU, Has fans, Cryptography, IPS, URL filtering, Secure Internet Gateway, Memory 64GB",C8500L-8S4X,x86-based aggregation router,,1,cisco.com/c/en/us/products/collateral/routers/catalyst-8500-series-edge-platforms/datasheet-c78-744089.html
8000V,Virtual,C8000V,Virtual deployment,No,Catalyst,No,Yes,Virtualized,,,,,,Compute Bound,Compute Bound,Compute Bound,Compute Bound,0,,0,,0,,,"Cryptography, IPS, URL filtering, Secure Internet Gateway, Memory 16GB",L-DNA-C8500,"Virtual router for AWS Azure GCP , ESXi",Performance scales from 2 to 16 vCPUs,2,cisco.com/c/en/us/products/collateral/routers/catalyst-8000v-edge-software/catalyst-8000v-edge-software-ds.html
C8100-G2,"Rack, Desktop",C8130-G2,Small branch,No,Catalyst,No,No,"1x 1GbE RJ45, 1x 1GE RJ-45/SFP Combo",2,1 Gbps,"2x 1GbE RJ45 Flex , 2x 1GbE RJ45",4,1 Gbps,,250,1.9 Gbps,1.5 Gbps,0,,0,,0,,,"secure routers, Cryptography",C8130-G2,Fanless compact secure router,Base routing security features,2,cisco.com/site/us/en/products/collateral/networking/sdwan-routers/8000-secure-routers/8100-series-secure-routers-ds.html
C8100-G2,"Rack, Desktop",C8130-VAI-G2,Small branch,No,Catalyst,No,No,"1x 1GE RJ-45/SFP combo,1 x RJ-11 (DSL), 1 x XGSPON/10G BASE-T",1,1 Gbps,"2x 1GbE RJ45 Flex , 2x 1GbE RJ45",4,1 Gbps,,250,1.9 Gbps,1.5 Gbps,0,,0,,0,,,"secure routers, Cryptography",C8130-G2,Fanless compact secure router wth Embedded DSL,VAI -> VDSL/ADSL over ISDN (Annex B/J)​,2,cisco.com/site/us/en/products/collateral/networking/sdwan-routers/8000-secure-routers/8100-series-secure-routers-ds.html
C8100-G2,"Rack, Desktop",C8130-VAP-G2,Small branch,No,Catalyst,No,No,"1x 1GE RJ-45/SFP combo,1 x RJ-11 (DSL), 1 x XGSPON/10G BASE-T",1,1 Gbps,"2x 1GbE RJ45 Flex , 2x 1GbE RJ45",4,1 Gbps,,250,1.9 Gbps,1.5 Gbps,0,,0,,0,,,"secure routers, Cryptography",C8130-G2,Fanless compact secure router wth Embedded DSL,VAP –> VDSL/ASDL over POTS (Annex A),2,cisco.com/site/us/en/products/collateral/networking/sdwan-routers/8000-secure-routers/8100-series-secure-routers-ds.html
